Desc,plasmid_RefID,parent_strain,flow_label,plate,file,order
WT,WT,NA,NA,1,Specimen_002_B2_B02.fcs,B02.fcs
WT_RFP,scHP15-2,NA,NA,1,Specimen_002_B3_B03.fcs,B03.fcs
Hel2-KO_RFP,scHP520.1,NA,NA,1,Specimen_002_B4_B04.fcs,B04.fcs
low_GFP,scHP19-1,NA,NA,1,Specimen_002_B5_B05.fcs,B05.fcs
high_GFP,scHP20-1,NA,NA,1,Specimen_002_B6_B06.fcs,B06.fcs
SCD,Media,NA,NA,1,Specimen_002_B7_B07.fcs,B07.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP15-2,scHP15-2-1144.1,1,Specimen_002_C2_C02.fcs,C02.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP15-2,scHP15-2-1144.1,1,Specimen_002_C3_C03.fcs,C03.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP15-2,scHP15-2-1144.1,1,Specimen_002_C4_C04.fcs,C04.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP15-2,scHP15-2-1144.1,1,Specimen_002_C5_C05.fcs,C05.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP15-2,scHP15-2-1144.1,1,Specimen_002_C6_C06.fcs,C06.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP520.1,scHP520.1-1144.1,1,Specimen_002_C7_C07.fcs,C07.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP520.1,scHP520.1-1144.1,1,Specimen_002_C8_C08.fcs,C08.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP520.1,scHP520.1-1144.1,1,Specimen_002_C9_C09.fcs,C09.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP520.1,scHP520.1-1144.1,1,Specimen_002_C10_C10.fcs,C10.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_VK_GTGAAA-R1-T7-YFP,pHPSC1144.1,scHP520.1,scHP520.1-1144.1,1,Specimen_002_C11_C11.fcs,C11.fcs
GPD-3xFLAG-PGK1-HA-8xdicodoon_FK_TTTAAG-R1-T7-YFP,pHPSC1145.1,scHP15-2,scHP15-2-1145.1,1,Specimen_002_D2_D02.fcs,D02.fcs
