S. cerevisiae			
Genes included in this table have RNA RPM >= 10.0 and RPF RPM > 0 for RNA-Seq and ribosome profiling data			
Transcript ID	mRNA RPKM	RPF RPKM	log2(TE)
YAL001C	34.51	17.96	-0.942227124
YAL002W	19.77	5.37	-1.880318878
YAL003W	4167.97	6818.39	0.710086228
YAL007C	193.15	194.96	0.013456479
YAL008W	44.66	85.73	0.940816892
YAL009W	31.05	17.48	-0.828888084
YAL010C	14.88	10.26	-0.536343796
YAL011W	16.26	10.35	-0.65169649
YAL012W	518.26	1103.08	1.089789471
YAL013W	23.59	40.18	0.768302145
YAL014C	57.09	28.08	-1.023695127
YAL015C	20.77	13.53	-0.618339377
YAL016W	131.27	154.73	0.237215697
YAL017W	46.24	20.11	-1.201228316
YAL019W	66.64	35.37	-0.913862182
YAL020C	23.38	12.95	-0.852322832
YAL021C	83.56	59.2	-0.497215317
YAL022C	53.78	35.07	-0.616832325
YAL023C	313.08	219.4	-0.512967824
YAL024C	23.05	7.82	-1.559526238
YAL025C	52.82	130.16	1.30112995
YAL026C	75.19	30.95	-1.280601392
YAL027W	16.41	13.3	-0.303148993
YAL028W	6.89	2.52	-1.451080249
YAL029C	72.06	20.06	-1.844877046
YAL030W	117.87	130.05	0.141869826
YAL031C	23.4	11.37	-1.041276276
YAL032C	22.54	18.82	-0.260220887
YAL033W	60.67	53.41	-0.183873427
YAL034C	16.85	2.54	-2.729848189
YAL034W-A	13.57	15.51	0.192777966
YAL035W	369.33	410.02	0.150783829
YAL036C	131.37	170.89	0.379432121
YAL038W	10041.21	15668.64	0.641946833
YAL039C	19.82	39.06	0.978734987
YAL040C	31.75	10.32	-1.621313621
YAL041W	49.38	27.29	-0.855554442
YAL042W	239.05	164.64	-0.537997518
YAL043C	50.51	29.11	-0.795054202
YAL044C	438.24	693.76	0.662715491
YAL044W-A	107.43	121.93	0.18265621
YAL046C	99.03	108.77	0.135343155
YAL047C	15.22	8.85	-0.782218999
YAL048C	17.22	9.58	-0.845987582
YAL049C	85.24	117.38	0.461584115
YAL051W	29.13	16.02	-0.862631554
YAL053W	59.14	45.94	-0.364383387
YAL054C	12.52	0.96	-3.705056346
YAL055W	20.92	22.2	0.085676825
YAL056W	35.28	7.92	-2.155278225
YAL058W	39.81	21.93	-0.860225059
YAL059W	82.26	96.03	0.223294106
YAL060W	166.6	166.74	0.00121184
YAL061W	21.19	26.49	0.322064256
YAR002C-A	301.48	363.19	0.268662183
YAR002W	65.1	73.46	0.174301353
YAR003W	31.64	14.62	-1.113806289
YAR007C	73.99	98.65	0.414988752
YAR008W	25.99	24.51	-0.08458615
YAR014C	62.97	40.27	-0.644959195
YAR015W	186.05	264.23	0.506103885
YAR018C	30.96	15.47	-1.000932275
YAR019C	14.12	5	-1.497740089
YAR027W	61.26	71.2	0.216931874
YAR028W	34.19	33.36	-0.035455134
YAR035W	6.2	1.32	-2.231730286
YAR042W	56.34	25.58	-1.139143299
YBL001C	267.35	394.52	0.561368762
YBL002W	914.76	1832.33	1.002214167
YBL004W	134.88	40.76	-1.726450485
YBL005W	28.55	7.94	-1.846279833
YBL006C	94.15	81.2	-0.213481367
YBL007C	171.56	125.05	-0.456208164
YBL008W	27.66	13.58	-1.026317677
YBL009W	29.6	24.17	-0.292379703
YBL010C	20.88	21.08	0.013753155
YBL011W	78.21	31.21	-1.325344726
YBL013W	10.68	7.81	-0.451517194
YBL014C	32.5	5.37	-2.597445725
YBL015W	29.08	34.36	0.240702767
YBL016W	44.53	47.25	0.085536718
YBL017C	109.65	69.99	-0.647685099
YBL018C	91.38	84.5	-0.112927101
YBL019W	10.23	5.82	-0.813715087
YBL020W	48.54	19.68	-1.302443888
YBL021C	37.37	57.02	0.609587476
YBL022C	143.5	84.7	-0.760616862
YBL023C	41.19	37.65	-0.129644261
YBL024W	156.84	169.94	0.115731923
YBL026W	192.18	276.63	0.525499419
YBL028C	166.27	282.65	0.76548881
YBL030C	437.25	772.08	0.820291958
YBL031W	21.19	10.53	-1.008878151
YBL032W	176.71	195.22	0.143717178
YBL033C	42.59	55.12	0.372061158
YBL034C	26.5	12.28	-1.109681799
YBL035C	33.73	26.74	-0.335032853
YBL036C	107.23	178.11	0.73205993
YBL037W	33.26	19.76	-0.751205222
YBL038W	56.88	73.08	0.361555169
YBL039C	274.18	300.84	0.133873064
YBL040C	119.7	149.36	0.31937068
YBL041W	266.03	385.15	0.533831479
YBL042C	71.64	49.9	-0.521725522
YBL045C	110.4	123.66	0.163638739
YBL046W	23.29	28.04	0.26777571
YBL047C	155.74	133.67	-0.220463818
YBL050W	131.3	207.4	0.659548978
YBL051C	88.56	76.24	-0.216107103
YBL052C	34.96	5.28	-2.72709535
YBL054W	29.67	29.25	-0.020568302
YBL055C	40.82	26.32	-0.633116693
YBL056W	196.83	116.58	-0.75562982
YBL057C	99.26	82.95	-0.258970473
YBL058W	157.71	194.07	0.299302978
YBL059C-A	90.64	112.56	0.312474467
YBL059W	25	19.14	-0.385337265
YBL060W	16.17	10.2	-0.664750527
YBL061C	62.64	38.91	-0.686943232
YBL063W	22.63	8.58	-1.399187032
YBL064C	105.48	130.54	0.307522468
YBL066C	16.42	4.85	-1.759397475
YBL067C	63.72	17.31	-1.880140542
YBL068W	90.09	86.97	-0.050849141
YBL069W	40.94	49.25	0.266612622
YBL071W-A	93.44	143.67	0.620646662
YBL074C	26	17.94	-0.535331733
YBL075C	20.07	0.41	-5.613272897
YBL076C	709.75	474.68	-0.580355679
YBL079W	93.66	33.41	-1.487153055
YBL080C	15.07	8.24	-0.870963174
YBL082C	50.53	29.2	-0.791171811
YBL085W	47.52	27.43	-0.792780214
YBL086C	18.38	18.61	0.017941289
YBL088C	18.56	1.57	-3.563360246
YBL089W	23.16	17.37	-0.415037499
YBL090W	53.28	79.26	0.572998885
YBL091C	159.16	179.99	0.17743895
YBL091C-A	29.25	38.6	0.400164223
YBL092W	5803.66	9065.9	0.643487244
YBL093C	67.31	83.9	0.317849954
YBL095W	38.96	8.54	-2.189685702
YBL097W	24.45	18.02	-0.440235454
YBL098W	34.01	30.94	-0.136485809
YBL099W	444.26	562.63	0.34078223
YBL101C	35.78	15.82	-1.177403788
YBL102W	104.18	87.17	-0.257174728
YBL103C	22.7	21.88	-0.053079559
YBL104C	30.49	11.43	-1.415510747
YBL105C	52.64	25.51	-1.04509659
YBL106C	21.34	7.37	-1.533823652
YBL107C	44.15	42.64	-0.050206
YBR001C	45.99	24.89	-0.885753967
YBR002C	48.2	39.22	-0.297443611
YBR003W	49.56	25.77	-0.94348365
YBR004C	28.51	19.66	-0.536204718
YBR005W	20.4	15.04	-0.439764585
YBR006W	18.61	18.29	-0.02502298
YBR007C	17.84	10.7	-0.737504819
YBR008C	15.3	0.19	-6.331388424
YBR011C	1546.48	2538.92	0.715226761
YBR013C	40.32	22.98	-0.811116841
YBR014C	76.8	113.85	0.567956075
YBR015C	148.88	109.23	-0.446780814
YBR016W	123.24	382.41	1.633649663
YBR017C	122.59	79.09	-0.6322741
YBR020W	8.48	0.03	-8.142957954
YBR021W	15.54	10.65	-0.545133073
YBR022W	40.1	57.2	0.51241291
YBR023C	70.74	34.27	-1.045580027
YBR024W	22.04	25.04	0.184110338
YBR025C	820.32	998.55	0.283647866
YBR026C	72.77	96.65	0.409425922
YBR028C	46.81	27.4	-0.772640872
YBR029C	86.83	70.12	-0.308367588
YBR030W	30.45	13.12	-1.214674508
YBR034C	155.33	154.94	-0.00362685
YBR035C	180.25	269.68	0.581249273
YBR036C	116.45	106.81	-0.124663915
YBR037C	36.12	41.84	0.212084959
YBR038W	65.24	51.96	-0.328355351
YBR039W	183.82	249.87	0.442883955
YBR041W	64.68	40.41	-0.678607327
YBR042C	52.44	31.19	-0.749584133
YBR043C	25.13	5.16	-2.2839677
YBR044C	25.29	8.35	-1.598718934
YBR045C	5.37	0.77	-2.801991737
YBR046C	45.34	77.72	0.77750151
YBR049C	86.06	86.42	0.006022391
YBR052C	165.29	205.92	0.317084514
YBR053C	53.26	84.4	0.66419057
YBR054W	42.58	49.55	0.218709108
YBR055C	35.8	14.79	-1.275337535
YBR056W	66.09	54.41	-0.280560167
