,mrna,rpf,te,note,gene
YLR044C,17272.43,21999.67,0.349010818,"Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism",PDC1
YJL189W,9937.27,20587.71,1.050861897,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L39 ribosomal protein; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1",RPL39
YKL060C,13355.2,17698.1,0.406192905,"Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress",FBA1
YAL038W,10041.21,15668.64,0.641946833,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration",CDC19
YLR110C,7730.84,15022.1,0.958389422,"Cell wall mannoprotein, mutants are defective in mating and agglutination, expression is downregulated by alpha-factor",CCW12
YOL086C,9777.13,14579.53,0.576461272,"Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway",ADH1
YKL152C,10261.99,14190.15,0.467579315,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis",GPM1
YCR012W,9766.9,13783.74,0.496994763,"3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis",PGK1
YOL127W,7060.85,9940.48,0.493473649,"Primary rRNA-binding ribosomal protein component of the large (60S) ribosomal subunit, has similarity to E. coli L23 and rat L23a ribosomal proteins; binds to 26S rRNA via a conserved C-terminal motif",RPL25
YDR050C,6209.21,9898.52,0.672803108,"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region",TPI1
YLR109W,4628.71,9571.49,1.04813335,"Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p",AHP1
YBL092W,5803.66,9065.9,0.643487244,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein; overexpression disrupts telomeric silencing",RPL32
YJR123W,5960.38,8802.35,0.562484426,"Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; has similarity to E. coli S7 and rat S5 ribosomal proteins",RPS5
YGL103W,6353.9,8738.79,0.459791149,"Ribosomal protein of the large (60S) ribosomal subunit, has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance",RPL28
YPR043W,5094.67,8710.84,0.773823146,"Protein component of the large (60S) ribosomal subunit, identical to Rpl43Bp and has similarity to rat L37a ribosomal protein; null mutation confers a dominant lethal phenotype",RPL43A
YLR075W,6172.12,8675.54,0.491187448,"Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family",RPL10
YFR032C-A,4121.82,8389.25,1.025260336,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L29 ribosomal protein; not essential for translation, but required for proper joining of the large and small ribosomal subunits and for normal translation rate",RPL29
YOR063W,6320.77,8311.78,0.39505715,"Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus",RPL3
YEL034W,3836.11,8129.51,1.083524308,"Translation elongation factor eIF-5A, previously thought to function in translation initiation; similar to and functionally redundant with Anb1p; structural homolog of bacterial EF-P; undergoes an essential hypusination modification",HYP2
YGR027C,5185.91,7847.82,0.597694783,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Bp and has similarity to rat S25 ribosomal protein,RPS25A
YDR064W,4774.39,7828.49,0.713417641,Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S15 and rat S13 ribosomal proteins,RPS13
YLR061W,4176.08,7691.9,0.881190657,"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Bp and to rat L22 ribosomal protein",RPL22A
YHL015W,3937.7,7621.91,0.952799371,Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins,RPS20
YNL178W,5541.67,7442.53,0.425472329,"Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; has similarity to E. coli S3 and rat S3 ribosomal proteins",RPS3
YLR388W,2526.03,7275.97,1.526267821,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps29Bp and has similarity to rat S29 and E. coli S14 ribosomal proteins,RPS29A
YHR021C,3629.75,7197.7,0.987665786,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Ap and has similarity to rat S27 ribosomal protein,RPS27B
YOL040C,4456.67,7005.96,0.652616613,Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S19 and rat S15 ribosomal proteins,RPS15
YOR369C,5809.11,6893.14,0.246844168,Protein component of the small (40S) ribosomal subunit; has similarity to rat ribosomal protein S12,RPS12
YAL003W,4167.97,6818.39,0.710086228,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site",EFB1
YLR185W,3483.15,6788.07,0.962608839,"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Bp and to rat L37 ribosomal protein",RPL37A
YJL190C,3817.67,6782.81,0.829190679,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps22Bp and has similarity to E. coli S8 and rat S15a ribosomal proteins,RPS22A
YNL069C,4441.16,6555.06,0.561672438,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Ap, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p",RPL16B
YOL109W,2775.83,6494.16,1.226223714,Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria,ZEO1
YPL131W,4494.8,6471.93,0.525939081,Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly,RPL5
YBR189W,4284.12,6384.07,0.575477579,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps9Ap and has similarity to E. coli S4 and rat S9 ribosomal proteins,RPS9B
YGL123W,4305.0,6166.02,0.518326331,"Protein component of the small (40S) subunit, essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p",RPS2
YLR325C,3601.39,6030.4,0.74369986,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L38 ribosomal protein",RPL38
YGL030W,3623.01,5970.02,0.720546977,"Protein component of the large (60S) ribosomal subunit, has similarity to rat L30 ribosomal protein; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript",RPL30
YDR155C,3262.31,5951.42,0.867340054,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A",CPR1
YDL075W,3655.7,5798.9,0.665631577,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality",RPL31A
YHR010W,3781.08,5433.44,0.523067507,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl27Bp and has similarity to rat L27 ribosomal protein",RPL27A
YLR340W,4808.49,5392.46,0.165359651,"Conserved ribosomal protein P0 of the ribosomal stalk, which is involved in interaction between translational elongation factors and the ribosome; similar to rat P0, human P0, and E. coli L10e; phosphorylated on serine 302",RPP0
YML028W,2933.99,5346.9,0.865838741,"Thioredoxin peroxidase, acts as both a ribosome-associated and free cytoplasmic antioxidant; self-associates to form a high-molecular weight chaperone complex under oxidative stress; deletion results in mutator phenotype",TSA1
YDR382W,4183.45,5332.81,0.350202736,"Ribosomal protein P2 beta, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm",RPP2B
YOL039W,3659.53,5193.05,0.504923744,"Ribosomal protein P2 alpha, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm",RPP2A
YPL143W,3097.86,5192.39,0.745126801,"N-terminally acetylated ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Bp and has similarity to rat L35a; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable",RPL33A
